V1	V8	V9	V10	Q46	Q51	Q57	Q1	Q42	Q2_1	Q2_2	Q2_3	Q2_4	Q36_1	Q36_2	Q36_3	Q36_4	Q59_1	Q59_2	Q60_1	Q60_2	Q56	Q37_1	Q37_2	Q37_3	Q37_4	Q38	Q40	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q53	Q54	Q55	Q43	Q42.0	Q43.0	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q13_12	Q13_13	Q13_14	Q13_15	Q50	Q29	Q30	Q52_1	Q52_2	Q19	Q14	Q15	Q16	Q17	Q17_TEXT	Q18	Q3	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q33	Q39	Q44	Q34	Q41	Q35
R_ePyVQUglCIMXfLL	4-18-2016__8:25:02_PM	4-18-2016__8:31:07_PM	1	1	1	1	2	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	4	5	5	5	4	5	4	4	4	4	3	4	4	NA	NA	NA	3	4	1	3	6	3	4	NA	21	2	1	4	3	2	2	NA	2	3	NA	NA	NA	NA	NA	NA	NA
R_e9GgXcKaVmTj9kx	4-7-2016__10:47:25_AM	4-7-2016__10:51:26_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"No expertise at our small college.sWith my advising, 1 student recently entered a bioinformatics graduate program."	2	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	Poor survey design. Too many choices for this national survey.sI am tempted to stop here.	2	NA	3	4	1	2	5	2	4	NA	30	2	1	2	3	1	1	Biology	1	3	NA	"I regularly attend the SICB meetings.sA simple, informative booth and or sponsored workshop would help bring many of us up to speed."	NA	NA	NA	NA	NA
R_6MfX6fJwaSpX5EV	4-7-2016__10:08:13_AM	4-7-2016__10:14:25_AM	1	1	1	1	2	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	2	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	1	4	5	5	3	5	5	3	3	2	3	1	3	2	Use for building phylogenetic trees	1	NA	2	5	1	2	6	3	4	NA	39	2	1	2	1	1	1	Biology	1	2	GeneticssMolecular BiologysSenior Capstone Research	Time to fit into curriculum	NA	NA	NA	NA	NA
R_2uDwHWsHHvaS4kM	4-8-2016__4:22:06_PM	4-8-2016__4:36:42_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	"Currently, I teach only lectures, no labs and bioinformatics should be incorporated into the lab curricula."	2	NA	1	"Lack of faculty support, from what I have seen; too many more important concepts to cover in a non-majors or majors biology lab or lecture."	2	NA	3	NA	NA	NA	NA	NA	NA	1	5	3	5	5	5	5	5	5	5	4	5	5	4	4	5	NA	1	No dedicated computer lab for science majors.	4	4	1	2	5	2	2	NA	21	3	1	4	2	2	2	Department of Biology	2	3	NA	"Time and understanding ways to incorporate bioinformatics into course curricula that are meaningful, but relatively easy to understand."	NA	NA	NA	NA	NA
R_6kXP7i6bSoxpdVH	4-7-2016__10:47:46_AM	4-7-2016__10:58:07_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"There are several bioinformatics courses offered in our program. Since I teach Molecular Biology, which covers a broader topics, it is difficult for me to allocate more than one class specifically for bioinformatics."	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	3	4	5	5	5	3	5	3	3	2	2	1	1	1	NA	2	NA	4	3	1	2	2	2	4	NA	16	2	1	4	3	3	3	Biology Department	6	4	NA	NA	NA	NA	NA	NA	NA
R_9ytGogPmmt8HYTH	4-18-2016__3:11:30_PM	4-18-2016__3:17:25_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	My own experience/knowledge	2	NA	1	Faculty knowledge and experience	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	4	4	4	3	2	4	4	3	3	2	2	2	1	NA	2	NA	4	5	1	1	5	2	4	NA	8	3	1	2	2	1	1	Department of Biology	1	3	NA	Student buy-in; faculty knowledge and ability to stay current.	NA	NA	NA	NA	NA
R_25EJiTTLuZbm8An	4-8-2016__4:28:09_PM	4-8-2016__4:29:25_PM	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	6	3	1	NA	1	4	1	4	1	2	2	Dept of Biology	3	5	NA	NA	NA	NA	NA	NA	NA
R_3E6X4XeikE6MzRP	4-18-2016__11:05:23_PM	4-18-2016__11:13:37_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	there is a separate Bioinformatics course in the department	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	4	5	5	3	3	4	4	3	4	3	2	4	4	NA	2	NA	3	5	1	2	3	2	4	NA	13	2	1	2	2	1	1	Biology	2	3	NA	no opinion	NA	NA	NA	NA	NA
R_0q4eKUJcG1voieV	4-18-2016__2:53:11_PM	4-18-2016__2:57:31_PM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	Department does not do it.	3	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	4	5	3	2	4	3	3	4	3	3	2	3	3	4	NA	2	NA	5	4	1	2	5	2	2	NA	20	3	1	1	1	4	4	Natural Science	7	6	NA	A push from the department and some training on using them.	NA	NA	NA	NA	NA
R_6XYBJHWB2wL3AoZ	4-22-2016__3:24:36_PM	4-22-2016__4:08:40_PM	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	3	3	4	4	3	3	4	3	4	3	"Understanding database structure and how to store/manage large amounts of raw data for down-stream processing; creating workflows or pipelines of algorithms or programs; understanding some of the theory behind key algorithms (how does Clustal work, ho does BLAST work?); understanding the essentials of molecular evolution with respect to protein and DNA sequences"	1	Difficult to get the proper classroom for teaching the course in the most effective way.	5	5	1	2	5	2	4	NA	29	2	1	2	3	1	1	Biology	1	3	Bio325 BioinformaticssBio315 Molecular BiologysBio415 Molecular Genetics & GenomicssBio101 Introductory BiologysBio250 Microbiology	"Willingness and motivation of instructors to learn it themselves and use it more frequently in their courses; lack of commitment by departments to make it a high priority and require students to take the necessary courses (computer science, statistics, biinformatics)."	http://dpuadweb.depauw.edu/cfornari_web/Genomics/GenomicsLec.htm	NA	0	NA	"I have a large collection of so-called One Point Assignments which when completed satisfactorily  prior to an exam add points to the exam score; these assignments are usually problems to solve, but span a variety of questions, both theoretical and practcal."
R_0oKaKs0fABPWunH	4-25-2016__10:52:46_AM	4-25-2016__10:57:34_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"Time to cover material, personal expertise"	2	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	5	5	5	4	4	4	4	3	3	3	3	2	2	NA	1	We lack reliable access to computer labs and collaboration from IT or computer science faculty	3	5	1	1	5	2	4	NA	15	8	1	2	2	1	1	Department of Biology	1	3	NA	Lack of expertise in up-to-date methods.	NA	NA	NA	NA	NA
R_24u4daxMrnX71xr	4-7-2016__11:03:21_AM	4-7-2016__2:20:43_PM	1	1	1	1	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	1	"Workload, lack of expertise, time for developing courses or modules for integration into courses"	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	4	5	5	5	5	5	5	5	5	5	4	5	5	NA	2	NA	5	5	1	1	5	2	4	NA	27	2	1	4	2	2	2	Biology	2	3	"Intro Bio I: Molecular and Cellular Biology; Biology Department; molecules through cells, basic biochemistry, respiration and photosynthesis, genetics, gene expression, biotechnology.  My bioinformatics module: use the NCBI website to explore human chromoomes; identify specific genes and discuss gene expression and effect of mutations. Intro Bio II: Evolution and Ecology; Biology Department; phylogeny (including molecular phylogeny), invertebrates, vertebrates, animal form and function, population ecolgy, ecosystems, restoration and conservation ecology.  My bioinformatics module: construct a phylogenetic tree using myoglobin sequences."	"Lack of familiarity with tools that are available, many of them FREE.  Time for developing bioinformatics content for each course and at the appropriate level.  Lack of interest by some faculty members - some consider it a graduate level area rather than ndergrad level.  Perceived lower value of bioinformatics versus the other courses in our departments."	http://workbench.sdsc.edu/shttp://www.ncbi.nlm.nih.gov/	NA	NA	NA	NA
R_b3qZMGFMS8pMG0Z	4-25-2016__10:52:28_AM	4-25-2016__10:57:24_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	NA	NA	NA	5	5	1	2	5	2	4	NA	27	2	1	4	2	3	3	Biology	4	4	NA	finding time in the curriculum (what to eliminate)	NA	NA	NA	computational skills	NA
R_733YSU6goHQ4Gxf	4-25-2016__10:36:14_AM	4-25-2016__10:39:58_AM	1	1	1	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	5	4	4	5	4	4	4	4	4	4	4	4	5	4	5	NA	NA	NA	5	4	1	2	2	2	4	NA	9	2	1	4	3	3	3	BioHealth Informatics	2	1	NA	NA	NA	NA	NA	NA	NA
R_cAZzHVguqFealWB	4-19-2016__6:18:42_AM	4-19-2016__6:27:51_AM	1	1	1	1	2	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	4	5	4	5	4	4	4	4	3	3	3	2	4	4	NA	1	NA	3	5	1	2	5	2	4	NA	29	3	1	4	2	3	3	Biological Sciences	3	3	"BIO 2110 - Genetics.  Semester long course covering Molecular, Transmission and Population Genetics"	lack of interest of students in large required classes	NA	NA	NA	NA	NA
R_1lubrr2d9AdCo4I	4-30-2016__8:29:12_PM	4-30-2016__8:42:16_PM	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	Students are generally not aware of what the subject material and therefore do not see its importance to their future careers.  I have a number of other courses in my rotation- adding another is not feasible.  I dont get any support from math and compute science department- they seem uninterested in bioinformatics.	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	4	5	5	3	3	4	3	3	3	5	3	4	5	NA	1	Basically zero IT support- we are going at it alone.  IT has a bias for Windows OS and wont support other OSs.	3	4	1	2	5	2	4	NA	24	3	1	2	2	1	1	Dept. of Biology	1	2	"Genetics, Biology 202, 1 unit, Science of heredity- I introduce bioinformatics heresBioinformatics, Biochemistry 300, 1 unit, a course for upper-level biology majors"	"I could use more formal training in bioinformatics, workshops are very useful in this regard.  I dont think the subject has trickled down to the secondary education level, though, since few students begin college with any knowledge that it exists."	NA	NA	NA	NA	NA
R_e3PbJzGvWkvDX1j	4-25-2016__12:12:08_PM	4-25-2016__12:18:03_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	lack of training on my part	2	NA	1	we have a hiring freeze for > 5 years and have not been able to hire someone in this field	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	4	5	5	5	5	5	4	4	4	3	NA	2	3	NA	1	NA	2	5	1	2	5	2	4	NA	23	2	1	3	1	2	1	Department of Biological Sciences	2	3	NA	catch-up training	NA	NA	NA	NA	NA
R_3EQfCXAdoZanHNz	4-11-2016__3:14:33_PM	4-11-2016__3:19:50_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	necessary background	3	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	1	NA	3	5	1	2	5	2	4	NA	30	1	1	5	1	1	1	Biological Sciences	2	3	NA	NA	NA	NA	NA	NA	NA
R_88MoFNvVy96nvH7	4-7-2016__12:15:38_PM	4-7-2016__12:23:16_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	expertise	1	NA	1	expertise and faculty workload; reliant on many adjuncts with current class offerings; hard to imagine finding time to develop let alone teach such a course	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	NA	2	NA	3	4	1	2	5	2	4	NA	28	1	1	2	1	2	2	Biology	1	2	NA	We lack mainly resources and the ability of full time faculty to develop and offer such a course	NA	NA	NA	NA	NA
R_1zhhfr94BtZ7057	4-7-2016__11:20:14_AM	4-7-2016__11:31:59_AM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	lack of time/ priority	2	NA	1	not likely to be popular for students to take	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	5	4	4	3	3	4	4	4	3	3	3	3	3	NA	1	"no computers (only laptops which are a hassle to start up, and gain access to) in my lab"	5	5	1	1	5	1	2	NA	3	2	1	1	3	2	2	NA	7	6	NA	"Im not sure - but my students (non-majors) in Biology have very weak backgrounds in science, math and basic computer skills"	NA	NA	NA	NA	NA
R_2nugu0WL0HsJQK9	4-25-2016__10:33:36_AM	4-25-2016__10:41:57_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	"We have so much other content to teach, all of it important."	2	NA	1	"Insufficient numbers of faculty, insufficient time in students degrees."	2	NA	2	NA	NA	NA	NA	NA	NA	1	3	2	5	4	2	1	1	3	3	1	2	2	2	1	2	NA	1	"We have none of those things, except some computer labs."	2	5	1	1	5	2	4	NA	16	8	1	3	2	2	1	Biology	2	3	NA	"1. No time; too much else to do. This is especially true for the levels of competency you suggested in that list, which would take more than one course to acquire. 2. No qualified people want the job. We put it in all our adds as a preferred but not neessary qualification. No one we get ever has it. People who can really do informatics generally: a) dont want to teach undergrads; and, b) can make a lot of money elsewhere. 3. Its less important than most of what else we do because the majority of or grads are not going on into research. I think its good to show them where information comes from, and I do have them search genbank and use Cn3D in one class, as well as look at alignments. But making them, knowing the algorithms? Thats just not necesary for the vast majority of our students, especially if it means taking away from another core competency."	NA	NA	NA	NA	NA
R_6KAzNzLRn96fWLz	5-4-2016__11:30:50_AM	5-4-2016__11:38:16_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	Current curricular guidelines.  Lack of preparation of many students in large classes.	1	NA	1	Some of the basic bioinformatics tools need to be integrated into other life sciences courses	1	NA	3	NA	NA	NA	NA	NA	NA	1	5	4	4	3	2	2	2	3	2	2	2	2	5	4	4	NA	1	"IT support, access to computer labs, convincing others that basic bioinformatics competencies should be integrated into other courses."	5	5	1	1	5	2	2	NA	10	2	1	4	2	3	3	NA	7	6	NA	The culture around programming & subsequent lack of exposure and support for many students to learn basic programming skills makes the thought of doing many of the basic bioinformatics tasks unnecessarily scary.	NA	NA	NA	NA	NA
R_e4jQh2BfoGQISDb	4-7-2016__10:20:14_AM	4-7-2016__10:28:43_AM	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	"Sufficient access, level of studnet taking the classes"	2	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	3	2	2	1	1	1	1	2	3	1	1	3	1	NA	1	"availability of software; size, space, and availability of computer labs; student access to computers/software at home."	4	4	1	1	5	2	2	NA	9	2	1	1	1	1	1	Math and Sciences	2	4	NA	The students ability to think critically and effectively evaluate information.  They rely on being told exactly what to do and have an inability to problem solve when things dont turn out as they anticipate.	NA	NA	NA	NA	NA
R_2THR7DCTI3W6BOM	4-7-2016__7:58:54_PM	4-7-2016__8:04:03_PM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	3	NA	2	NA	3	NA	NA	NA	NA	NA	NA	1	4	4	4	5	5	4	3	4	4	3	5	4	2	2	3	NA	2	NA	2	3	1	3	6	2	4	NA	12	1	1	4	1	3	3	Life Sciences	7	4	NA	NA	NA	NA	NA	NA	NA
R_dgmdmZNJlYdjmrr	4-18-2016__8:11:00_PM	4-18-2016__8:30:31_PM	1	1	1	1	2	1	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	1	"Students in the life sciences need coursework in computer science so that they understand that bioinformatics is not simply using existing software, but includes the ability to write code."	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	4	5	5	5	5	5	5	5	5	5	4	5	4	NA	2	NA	4	5	1	1	5	2	4	NA	24	3	1	4	3	3	3	Biology	3	4	"BIO214 Genetics, BIO452/552 Advanced Genetics, BIO453/553 Human Genetics, BIO454/554 Genomes, BIO401/501 Biocomputational Analyses"	"Insufficient understanding of faculty of the range of bioinformatics, and biocomputational studies, and that this work can include everything from biological database structures to the electronic collections of native species, as well as tissue and genetis sequence databases and their analysis."	NA	NA	NA	NA	"No URLs are available, content is not available online.  Course materials are copyrighted and cannot be released.  Syllabi do not contain course outlines only university policies."
R_0iBMxbjOsxdj4hL	4-7-2016__10:17:37_AM	4-7-2016__10:25:27_AM	1	1	1	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	"Easy access to well-structured, existing exercises that I can test-run myself and then modify for my needs."	1	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	3	5	5	5	5	5	4	5	4	4	4	4	4	4	NA	1	"access to programs, operating systemssIT supportslack of interest with Math/Computer Science colleagues in cooperatingsfunding for development and personel"	3	4	1	1	5	2	4	NA	22	2	1	2	2	1	1	Department of Botany and Microbiology	1	1	NA	Keeping up with the changes to programs and searchessFunding at an institutional level	NA	NA	NA	NA	NA
R_3sZ8xRcxg5VmJcp	4-7-2016__10:12:59_AM	4-7-2016__10:34:42_AM	1	1	1	1	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	2	1	I havent had time to develop a bioinformatics course since developing my own skills during a recent sabbatical leave. I expect to offer a course for the first time in 2017-2018.	2	NA	2	NA	NA	NA	NA	NA	NA	1	4	4	3	4	4	3	3	3	3	3	3	3	4	3	3	"understand methodology for obtaining bioinformatic datasunderstand variety of applications for bioinformatic data (population genomics, ecology, etc beyond traditional molecular biology subfields)"	1	HPC access for teaching is available by application. I havent tried this yet.	3	3	1	1	5	2	4	NA	24	2	1	2	2	1	1	Biology Department	1	3	"BIOL109-110 Introduction to Experimental Biology. The course emphasizes the development of  skills through active involvement in experimental design, data collection, statistical analysis, integration of results with information reported in the literatureand writing in a format appropriate for publication."	"time to develop course material, computational resources, computational comfort of students (beyond GUI tools)"	NA	NA	NA	NA	"I didnt develop the bioinformatics module used in our intro bio lab course BIOL109-110, so Im not comfortable sharing it without obtaining permission to do so."
